Word,Conc.M,Dom_Pos
greener,3.5,Adjective
identical,3.5,Adjective
junior,3.5,Adjective
lateral,3.5,Adjective
magnifying,3.5,Adjective
nonskid,3.5,Adjective
nonsurgical,3.5,Adjective
oriental,3.5,Adjective
serpentine,3.5,Adjective
shaded,3.5,Adjective
spermicidal,3.5,Adjective
stringy,3.5,Adjective
tearful,3.5,Adjective
textured,3.5,Adjective
uniformed,3.5,Adjective
unvarnished,3.5,Adjective
vacant,3.5,Adjective
wavy,3.5,Adjective
adolescent,3.48,Adjective
alkaline,3.48,Adjective
criminal,3.48,Adjective
darkened,3.48,Adjective
drunk,3.48,Adjective
glossy,3.48,Adjective
humid,3.48,Adjective
lactated,3.48,Adjective
moonlit,3.48,Adjective
rudderless,3.48,Adjective
soupy,3.48,Adjective
stale,3.48,Adjective
starless,3.48,Adjective
streaky,3.48,Adjective
vertical,3.48,Adjective
posterior,3.47,Adjective
tweeting,3.47,Adjective
beady,3.46,Adjective
buxom,3.46,Adjective
corneal,3.46,Adjective
funereal,3.46,Adjective
gray,3.46,Adjective
high,3.46,Adjective
horizontal,3.46,Adjective
meaty,3.46,Adjective
microscopic,3.46,Adjective
miniature,3.46,Adjective
putrid,3.46,Adjective
quivering,3.46,Adjective
reptilian,3.46,Adjective
rigid,3.46,Adjective
spindly,3.46,Adjective
withered,3.46,Adjective
airborne,3.45,Adjective
chocolaty,3.45,Adjective
clunky,3.45,Adjective
eldest,3.45,Adjective
elongated,3.45,Adjective
furless,3.45,Adjective
linear,3.45,Adjective
nutty,3.45,Adjective
oral,3.45,Adjective
pasty,3.45,Adjective
polygonal,3.45,Adjective
rotund,3.45,Adjective
shallow,3.45,Adjective
teenaged,3.45,Adjective
transsexual,3.45,Adjective
aquatic,3.44,Adjective
editorial,3.44,Adjective
flipping,3.44,Adjective
mass,3.44,Adjective
photoelectric,3.44,Adjective
ratty,3.44,Adjective
remote,3.44,Adjective
cartographic,3.43,Adjective
circulatory,3.43,Adjective
empty,3.43,Adjective
